Timestamp,Elapsed_Time_s,ship_id,latitude,longitude,speed_over_gnd,course_over_gnd,true_heading,rate_of_turn,ship_length,ship_width,index,total_ships
2026-07-11T15:15:23.157107,3.162438154220581,0,49.2754,100.4952,0,None,None,None,None,None,0,1
2026-07-11T15:15:24.164625,4.169955015182495,0,49.2754,100.4951,0,None,None,None,None,None,0,1
2026-07-11T15:15:25.158438,5.163769006729126,0,49.2754,100.4951,0,None,None,None,None,None,0,1
2026-07-11T15:15:25.158438,5.163769006729126,84673544,49.3335,-123.2169,0,217,251,0,None,None,0,1
2026-07-11T15:15:26.175591,6.180920600891113,0,49.2754,100.4951,0,None,None,None,None,None,0,1
2026-07-11T15:15:26.175591,6.180920600891113,84673544,49.3335,-123.2169,0,217,251,0,None,None,0,1
2026-07-11T15:15:27.255265,7.260595798492432,0,49.2754,100.4951,0,None,None,None,None,None,1,2
2026-07-11T15:15:27.255265,7.260595798492432,84673544,49.3335,-123.2169,0,217,251,0,None,None,0,1
2026-07-11T15:15:27.255265,7.260595798492432,47606566,49.3125,-123.1069,0,110,2,0,None,None,0,2
2026-07-11T15:15:28.304819,8.310152530670166,0,49.2754,100.4951,0,None,None,None,None,None,0,1
2026-07-11T15:15:28.304819,8.310152530670166,84673544,49.3335,-123.2169,0,217,251,0,None,None,0,1
2026-07-11T15:15:28.304819,8.310152530670166,47606566,49.3125,-123.1069,0,110,2,0,None,None,0,2
2026-07-11T15:15:29.305140,9.3104727268219,0,49.2754,100.4951,0,None,None,None,None,None,0,1
2026-07-11T15:15:29.305140,9.3104727268219,84673544,49.3335,-123.2169,0,217,251,0,None,None,0,1
2026-07-11T15:15:29.305140,9.3104727268219,47606566,49.3125,-123.1069,0,110,2,0,None,None,0,2
2026-07-11T15:15:30.305516,10.310846090316772,0,49.2754,100.4951,0,None,None,None,None,None,0,1
2026-07-11T15:15:30.305516,10.310846090316772,84673544,49.3335,-123.2169,0,217,251,0,None,None,0,1
2026-07-11T15:15:30.305516,10.310846090316772,47606566,49.3125,-123.1069,0,110,2,0,None,None,0,2
2026-07-11T15:15:31.107395,11.11272668838501,0,49.2754,100.4951,0,None,None,None,None,None,0,1
2026-07-11T15:15:31.107395,11.11272668838501,84673544,49.3335,-123.2169,0,217,251,0,None,None,0,1
2026-07-11T15:15:31.107395,11.11272668838501,47606566,49.3125,-123.1069,0,110,2,0,None,None,0,2
2026-07-11T15:15:31.107395,11.11272668838501,47585412,49.3107,-123.1068,0,291,359,0,None,None,0,1
2026-07-11T15:15:32.307264,12.312594652175903,0,49.2754,100.4952,0,None,None,None,None,None,0,3
2026-07-11T15:15:32.307264,12.312594652175903,84673544,49.3335,-123.2169,0,217,251,0,None,None,0,1
2026-07-11T15:15:32.307264,12.312594652175903,47606566,49.3125,-123.1069,0,110,2,0,None,None,0,2
2026-07-11T15:15:32.307264,12.312594652175903,47585412,49.3107,-123.1068,0,291,359,0,None,None,0,1
2026-07-11T15:15:32.307264,12.312594652175903,47622056,49.2746,100.5101,0,62,None,None,None,None,1,3
2026-07-11T15:15:32.307264,12.312594652175903,47570542,49.2914,-123.0583,0,322,57,0,None,None,2,3
2026-07-11T15:15:33.167159,13.172489881515503,0,49.2754,100.4952,0,None,None,None,None,None,0,3
2026-07-11T15:15:33.167159,13.172489881515503,84673544,49.3335,-123.2169,0,217,251,0,None,None,0,1
2026-07-11T15:15:33.167159,13.172489881515503,47606566,49.3125,-123.1069,0,110,2,0,None,None,0,2
2026-07-11T15:15:33.167159,13.172489881515503,47585412,49.3107,-123.1068,0,291,359,0,None,None,0,1
2026-07-11T15:15:33.167159,13.172489881515503,47622056,49.2746,100.5101,0,62,None,None,None,None,1,3
2026-07-11T15:15:33.167159,13.172489881515503,47570542,49.2914,-123.0583,0,322,57,0,None,None,2,3
2026-07-11T15:15:33.167159,13.172489881515503,244830547,49.2921,-123.1022,4,36,34,-15,None,None,0,2
2026-07-11T15:15:33.167159,13.172489881515503,208865644,49.3015,-123.2214,0,154,247,-7,None,None,1,2
2026-07-11T15:15:34.405114,14.410446166992188,0,49.2754,100.4952,0,None,None,None,None,None,0,1
2026-07-11T15:15:34.405114,14.410446166992188,84673544,49.3335,-123.2169,0,217,251,0,None,None,0,1
2026-07-11T15:15:34.405114,14.410446166992188,47606566,49.3125,-123.1069,0,110,2,0,None,None,0,2
2026-07-11T15:15:34.405114,14.410446166992188,47585412,49.3107,-123.1068,0,291,359,0,None,None,0,1
2026-07-11T15:15:34.405114,14.410446166992188,47622056,49.2746,100.5101,0,62,None,None,None,None,1,3
2026-07-11T15:15:34.405114,14.410446166992188,47570542,49.2914,-123.0583,0,322,57,0,None,None,2,3
2026-07-11T15:15:34.405114,14.410446166992188,244830547,49.2921,-123.1022,4,36,34,-15,None,None,0,2
2026-07-11T15:15:34.405114,14.410446166992188,208865644,49.3015,-123.2214,0,154,247,-7,None,None,1,2
2026-07-11T15:15:35.405387,15.410720586776733,0,49.2754,100.4952,0,None,None,None,None,None,0,1
