Timestamp,Elapsed_Time_s,ship_id,latitude,longitude,speed_over_gnd,course_over_gnd,true_heading,rate_of_turn,ship_length,ship_width,index,total_ships
2026-07-11T17:41:24.011315,13.15273141860962,47616983,49.316,-123.1449,25,284,281,0,None,None,1,2
2026-07-11T17:41:24.011315,13.15273141860962,47595592,49.2918,-123.0989,3,304,252,127,None,None,1,2
2026-07-11T17:41:24.011315,13.15273141860962,47610672,49.3104,-123.1071,0,137,87,0,None,None,0,1
2026-07-11T17:41:24.011315,13.15273141860962,47602633,49.291,-122.9741,0,345,316,0,None,None,0,3
2026-07-11T17:41:24.011315,13.15273141860962,47570542,49.2914,-123.0584,0,322,57,0,None,None,1,3
2026-07-11T17:41:24.011315,13.15273141860962,47617896,49.2766,100.5031,2,256,None,None,None,None,0,2
2026-07-11T17:41:24.970896,14.112307071685791,0,49.2754,100.4959,0,None,None,None,None,None,0,1
2026-07-11T17:41:24.970896,14.112307071685791,47606566,49.3124,-123.1069,0,326,7,0,None,None,0,1
2026-07-11T17:41:24.970896,14.112307071685791,47616983,49.316,-123.1449,25,284,281,0,None,None,1,2
2026-07-11T17:41:24.970896,14.112307071685791,47595592,49.2918,-123.0989,3,304,252,127,None,None,1,2
2026-07-11T17:41:24.970896,14.112307071685791,47610672,49.3104,-123.1071,0,137,87,0,None,None,0,1
2026-07-11T17:41:24.970896,14.112307071685791,47602633,49.291,-122.9741,0,345,316,0,None,None,0,3
2026-07-11T17:41:24.970896,14.112307071685791,47570542,49.2914,-123.0584,0,322,57,0,None,None,1,3
2026-07-11T17:41:24.970896,14.112307071685791,47617896,49.2766,100.5031,2,256,None,None,None,None,0,2
2026-07-11T17:41:26.083567,15.22498083114624,0,49.2754,100.4959,0,None,None,None,None,None,0,1
2026-07-11T17:41:26.083567,15.22498083114624,47606566,49.3124,-123.1069,0,326,7,0,None,None,0,1
2026-07-11T17:41:26.083567,15.22498083114624,47616983,49.316,-123.1449,25,284,281,0,None,None,1,2
