Timestamp,Elapsed_Time_s,ship_id,latitude,longitude,speed_over_gnd,course_over_gnd,true_heading,rate_of_turn,ship_length,ship_width,index,total_ships
2026-07-11T14:42:11.823428,2.90995717048645,47623775,49.2938,-123.1811,25,276,None,None,None,None,0,1
2026-07-11T14:42:13.233334,4.319863796234131,47623775,49.2938,-123.1811,25,276,None,None,None,None,0,1
2026-07-11T14:42:13.233334,4.319863796234131,0,49.2754,100.4951,0,None,None,None,None,None,0,1
2026-07-11T14:42:13.932688,5.019216775894165,47623775,49.2938,-123.1814,25,275,None,None,None,None,0,1
2026-07-11T14:42:13.932688,5.019216775894165,0,49.2754,100.4951,0,None,None,None,None,None,0,1
2026-07-11T14:42:14.836522,5.9230499267578125,47623775,49.2938,-123.1814,25,275,None,None,None,None,0,1
2026-07-11T14:42:14.836522,5.9230499267578125,0,49.2754,100.4951,0,None,None,None,None,None,1,3
2026-07-11T14:42:14.836522,5.9230499267578125,212930000,49.2879,-123.2014,0,91,1,-9,None,None,0,3
2026-07-11T14:42:14.836522,5.9230499267578125,47579165,49.3015,-123.0887,13,27,25,-127,None,None,2,3
2026-07-11T14:42:16.331719,7.418250799179077,47623775,49.2938,-123.1814,25,275,None,None,None,None,0,1
2026-07-11T14:42:16.331719,7.418250799179077,0,49.2754,100.4951,0,None,None,None,None,None,0,1
2026-07-11T14:42:16.331719,7.418250799179077,212930000,49.2879,-123.2014,0,91,1,-9,None,None,0,3
2026-07-11T14:42:16.331719,7.418250799179077,47579165,49.3015,-123.0887,13,27,25,-127,None,None,2,3
2026-07-11T14:42:17.335635,8.422163486480713,47623775,49.2938,-123.1814,25,275,None,None,None,None,0,1
2026-07-11T14:42:17.335635,8.422163486480713,0,49.2754,100.4951,0,None,None,None,None,None,1,2
2026-07-11T14:42:17.335635,8.422163486480713,212930000,49.2879,-123.2014,0,91,1,-9,None,None,0,3
2026-07-11T14:42:17.335635,8.422163486480713,47579165,49.3015,-123.0887,13,27,25,-127,None,None,2,3
2026-07-11T14:42:17.335635,8.422163486480713,47598895,49.2751,100.5099,0,115,None,None,None,None,0,2
2026-07-11T14:42:18.331629,9.418159008026123,47623775,49.2938,-123.1814,25,275,None,None,None,None,0,1
