Timestamp,Elapsed_Time_s,ship_id,latitude,longitude,speed_over_gnd,course_over_gnd,true_heading,rate_of_turn,ship_length,ship_width,index,total_ships
2026-07-26T15:56:50.267792,3.463845729827881,0,49.2755,100.4951,0,None,None,None,None,None,0,1
2026-07-26T15:56:51.268264,4.464317083358765,0,49.2755,100.4951,0,None,None,None,None,None,0,1
2026-07-26T15:56:52.268209,5.464263200759888,0,49.2755,100.4951,0,None,None,None,None,None,0,1
2026-07-26T15:56:53.268564,6.464618444442749,0,49.2755,100.4951,0,None,None,None,None,None,0,1
2026-07-26T15:56:54.268346,7.464401006698608,0,49.2755,100.4951,0,None,None,None,None,None,0,1
2026-07-26T15:56:54.268346,7.464401006698608,1139690,49.2898,-123.1887,0,168,40,0,None,None,0,1
2026-07-26T15:56:55.367645,8.563701391220093,0,49.2755,100.4951,0,None,None,None,None,None,0,1
2026-07-26T15:56:55.367645,8.563701391220093,1139690,49.2898,-123.1887,0,168,40,0,None,None,0,1
2026-07-26T15:56:55.868560,9.064614295959473,0,49.2755,100.4951,0,None,None,None,None,None,0,1
2026-07-26T15:56:55.868560,9.064614295959473,1139690,49.2898,-123.1887,0,168,40,0,None,None,0,1
2026-07-26T15:56:55.868560,9.064614295959473,99729114,49.3143,-123.1401,10,118,120,13,None,None,0,1
2026-07-26T15:56:56.368318,9.564371585845947,0,49.2755,100.4951,0,None,None,None,None,None,0,1
2026-07-26T15:56:56.368318,9.564371585845947,1139690,49.2898,-123.1887,0,168,40,0,None,None,0,1
2026-07-26T15:56:56.368318,9.564371585845947,99729114,49.3143,-123.1401,10,118,120,13,None,None,0,1
2026-07-26T15:56:57.368157,10.564210176467896,0,49.2755,100.4951,0,None,None,None,None,None,0,1
2026-07-26T15:56:57.368157,10.564210176467896,1139690,49.2898,-123.1887,0,168,40,0,None,None,0,1
2026-07-26T15:56:57.368157,10.564210176467896,99729114,49.3143,-123.1401,10,118,120,13,None,None,0,1
2026-07-26T15:56:58.369121,11.565174579620361,0,49.2755,100.4951,0,None,None,None,None,None,0,1
